Entry #,Title,Branch,Themes,Content,Source(s),Date Added,Evolution
SUMMARY,Summary of Unhinged Research,,,,,,
1,Entry 1 Title,Branch 1,Theme 1,Content 1,Source 1,Date 1,Evolution 1
2,Entry 2 Title,Branch 2,Theme 2,Content 2,Source 2,Date 2,Evolution 2
3,Entry 3 Title,Branch 3,Theme 3,Content 3,Source 3,Date 3,Evolution 3
4,Entry 4 Title,Branch 4,Theme 4,Content 4,Source 4,Date 4,Evolution 4
5,Entry 5 Title,Branch 5,Theme 5,Content 5,Source 5,Date 5,Evolution 5
6,Entry 6 Title,Branch 6,Theme 6,Content 6,Source 6,Date 6,Evolution 6
7,Entry 7 Title,Branch 7,Theme 7,Content 7,Source 7,Date 7,Evolution 7
8,Entry 8 Title,Branch 8,Theme 8,Content 8,Source 8,Date 8,Evolution 8
9,Entry 9 Title,Branch 9,Theme 9,Content 9,Source 9,Date 9,Evolution 9
10,Entry 10 Title,Branch 10,Theme 10,Content 10,Source 10,Date 10,Evolution 10
11,Entry 11 Title,Branch 11,Theme 11,Content 11,Source 11,Date 11,Evolution 11
12,Entry 12 Title,Branch 12,Theme 12,Content 12,Source 12,Date 12,Evolution 12
13,Entry 13 Title,Branch 13,Theme 13,Content 13,Source 13,Date 13,Evolution 13
14,Entry 14 Title,Branch 14,Theme 14,Content 14,Source 14,Date 14,Evolution 14
15,Entry 15 Title,Branch 15,Theme 15,Content 15,Source 15,Date 15,Evolution 15
16,Entry 16 Title,Branch 16,Theme 16,Content 16,Source 16,Date 16,Evolution 16
17,Entry 17 Title,Branch 17,Theme 17,Content 17,Source 17,Date 17,Evolution 17
18,Entry 18 Title,Branch 18,Theme 18,Content 18,Source 18,Date 18,Evolution 18
19,Entry 19 Title,Branch 19,Theme 19,Content 19,Source 19,Date 19,Evolution 19
20,Entry 20 Title,Branch 20,Theme 20,Content 20,Source 20,Date 20,Evolution 20
21,Entry 21 Title,Branch 21,Theme 21,Content 21,Source 21,Date 21,Evolution 21
22,Entry 22 Title,Branch 22,Theme 22,Content 22,Source 22,Date 22,Evolution 22
23,Entry 23 Title,Branch 23,Theme 23,Content 23,Source 23,Date 23,Evolution 23
24,Entry 24 Title,Branch 24,Theme 24,Content 24,Source 24,Date 24,Evolution 24
25,Entry 25 Title,Branch 25,Theme 25,Content 25,Source 25,Date 25,Evolution 25
26,Entry 26 Title,Branch 26,Theme 26,Content 26,Source 26,Date 26,Evolution 26
27,Entry 27 Title,Branch 27,Theme 27,Content 27,Source 27,Date 27,Evolution 27
28,Entry 28 Title,Branch 28,Theme 28,Content 28,Source 28,Date 28,Evolution 28
29,Entry 29 Title,Branch 29,Theme 29,Content 29,Source 29,Date 29,Evolution 29
30,Entry 30 Title,Branch 30,Theme 30,Content 30,Source 30,Date 30,Evolution 30
31,Entry 31 Title,Branch 31,Theme 31,Content 31,Source 31,Date 31,Evolution 31
32,Entry 32 Title,Branch 32,Theme 32,Content 32,Source 32,Date 32,Evolution 32
33,Entry 33 Title,Branch 33,Theme 33,Content 33,Source 33,Date 33,Evolution 33
34,Entry 34 Title,Branch 34,Theme 34,Content 34,Source 34,Date 34,Evolution 34
35,Entry 35 Title,Branch 35,Theme 35,Content 35,Source 35,Date 35,Evolution 35
36,Entry 36 Title,Branch 36,Theme 36,Content 36,Source 36,Date 36,Evolution 36
37,Entry 37 Title,Branch 37,Theme 37,Content 37,Source 37,Date 37,Evolution 37
38,Entry 38 Title,Branch 38,Theme 38,Content 38,Source 38,Date 38,Evolution 38
39,The Mask Analysis 1,Branch Mask,Theme Mask,Content Mask 1,Source Mask 1,Date Mask 1,Evolution Mask 1
40,The Mask Analysis 2,Branch Mask,Theme Mask,Content Mask 2,Source Mask 2,Date Mask 2,Evolution Mask 2
41,The Mask Analysis 3,Branch Mask,Theme Mask,Content Mask 3,Source Mask 3,Date Mask 3,Evolution Mask 3
42,The Mask Analysis 4,Branch Mask,Theme Mask,Content Mask 4,Source Mask 4,Date Mask 4,Evolution Mask 4
43,The Mask Analysis 5 Updated,Branch Mask,Theme Mask,Content Mask 5 Updated,Source Mask 5 Updated,Date Mask 5 Updated,Evolution Mask 5 Updated
44,The Mask Analysis 6,Branch Mask,Theme Mask,Content Mask 6,Source Mask 6,Date Mask 6,Evolution Mask 6
45,The Mask Analysis 7,Branch Mask,Theme Mask,Content Mask 7,Source Mask 7,Date Mask 7,Evolution Mask 7
46,The Mask Analysis 8,Branch Mask,Theme Mask,Content Mask 8,Source Mask 8,Date Mask 8,Evolution Mask 8
47,Fear and Loathing in Las Vegas - Raoul Duke's Destructive Unhinged,Destructive Chaos,Nihilism|Absurdism|Drug-induced Chaos|Recoil from Void|American Dream Collapse,"Raoul Duke, Hunter S. Thompson's alter ego in 'Fear and Loathing in Las Vegas,' embodies the destructive chaos branch of the 'unhinged' concept through his drug-induced descent into madness as a recoil from meaninglessness. His journey to Las Vegas to chase the American Dream becomes a nihilistic spiral where every attempt to find purpose or truth is met with absurdity and chemical-induced distortion. Duke's behavior represents not liberation but destructive chaos—a violent rejection of societal norms that stems from recognizing the void at the heart of American culture post-1960s counterculture collapse. The novel connects deeply with nihilism and absurdism through Duke's trajectory. His drug-induced haze serves as both escape from and confrontation with meaninglessness. Key scenes like hallucinating giant bats in the desert, being kicked out of shows for disruptive behavior, and huffing ether in hotel rooms exemplify this destructive unhinged trajectory. The famous 'wave speech' captures this philosophical underpinning: Duke describes the 1960s as 'a very special time and place to be a part of... with the right kind of eyes you can almost see the high-water mark—that place where the wave finally broke and rolled back.' Duke's response is not to rebuild but to embrace the wreckage through increasingly destructive behavior, making him a perfect embodiment of destructive unhingedness as recoil from the void.",https://en.wikipedia.org/wiki/Fear_and_Loathing_in_Las_Vegas|https://web.archive.org/web/20110307015848/http://blogs.villagevoice.com/runninscared/2011/03/the_american_dr.php#more,2026-01-06,Initial
